1,22120300,Nguyen Van Anh,Nam,04/01/2004,123456789
2,22120301,Tran Thi Bich Ngoc,Nu,15/04/2004,987654321
3,22120302,Le Minh Hieu,Nam,26/07/2004,456789012
4,22120303,Pham Thi Thuy Linh,Nu,07/10/2004,789012345
5,22120304,Hoang Van Cuong,Nam,18/02/2004,234567890
6,22120305,Bui Thi Nhu Quynh,Nu,29/05/2004,567890123
7,22120306,Nguyen Gia Bao,Nam,10/08/2004,901234567
8,22120307,Tran Thi Thanh Thuy,Nu,21/11/2004,345678901
9,22120308,Le Van Hung,Nam,02/03/2004,678901234
10,22120309,Pham Thi Ngoc Anh,Nu,13/06/2004,012345678
11,22120310,Hoang Minh Duc,Nam,24/09/2004,890123456
12,22120311,Bui Thi Minh Chau,Nu,05/01/2004,234567890
13,22120312,Nguyen Gia Linh,Nam,16/04/2004,345678901
14,22120313,Tran Thi Thanh Mai,Nu,27/07/2004,456789012
15,22120314,Le Van Kiet,Nam,08/10/2004,567890123
16,22120315,Pham Thi Ngoc Diep,Nu,19/01/2004,678901234
17,22120316,Hoang Gia Bao,Nam,30/04/2004,789012345
18,22120317,Bui Thi Minh Hoa,Nu,11/08/2004,890123456
19,22120318,Nguyen Van Dat,Nam,22/11/2004,901234567
20,22120319,Tran Thi Thanh Binh,Nu,03/03/2004,012345678
21,22120320,Le Minh Khoa,Nam,14/06/2004,123456789
22,22120321,Pham Gia Linh,Nu,25/09/2004,234567890
23,22120322,Hoang Thi Cam Ly,Nu,06/01/2004,345678901
24,22120323,Bui Van Phi,Nam,17/04/2004,456789012
25,22120324,Nguyen Thi Thuy Trang,Nu,28/07/2004,567890123
26,22120325,Tran Gia Huy,Nam,09/10/2004,678901234
27,22120326,Le Thi Huong Giang,Nu,20/01/2004,789012345
28,22120327,Pham Van Quan,Nam,01/05/2004,890123456
29,22120328,Hoang Thi Ngoc Linh,Nu,12/08/2004,901234567
30,22120329,Bui Thi Thanh Truc,Nu,23/11/2004,012345678
31,22120330,Nguyen Gia Phuong,Nam,04/03/2004,123456789
32,22120331,Tran Thi Thanh Ngan,Nu,15/06/2004,234567890
33,22120332,Le Minh Tuan,Nam,26/09/2004,345678901
34,22120333,Pham Thi Nhu Y,Nu,07/01/2004,456789012
35,22120334,Hoang Van Khanh,Nam,18/04/2004,567890123
36,22120335,Bui Thi Thanh Ha,Nu,29/07/2004,678901234
37,22120336,Nguyen Gia Linh,Nam,10/10/2004,789012345
38,22120337,Tran Thi Thuy Linh,Nu,21/01/2004,890123456
39,22120338,Le Van Hung,Nam,02/05/2004,901234567
40,22120339,Pham Gia Bao,Nam,13/08/2004,012345678
41,22120340,Hoang Thi Ngoc Anh,Nu,24/11/2004,123456789
42,22120341,Bui Van Kiet,Nam,05/03/2004,234567890
43,22120342,Nguyen Thi Minh Chau,Nu,16/06/2004,345678901
44,22120343,Tran Gia Huy,Nam,27/09/2004,456789012
45,22120344,Le Thi Thanh Mai,Nu,08/01/2004,567890123
