1,23120001,Nguyen Thi Khanh Linh,Nu,15/05/2005,245678912
2,23120002,Cao Nguyen Kim Duyen,Nu,23/08/2005,334567890
3,23120003,Nguyen Duy Tu,Nam,10/12/2005,456789012
4,23120004,Phan Anh Tuan,Nam,5/4/2005,567890123
5,23120005,Nguyen Ngoc Kim Lien,Nu,20/11/2005,678901234
6,23120006,Ngo Gia Bao,Nam,18/02/2005,789012345
7,23120007,Tran Gia Hung,Nam,8/6/2005,890123456
8,23120008,Nguyen Ho Khang Hy,Nam,17/10/2005,901234567
9,23120009,Le Vo Minh Khue,Nu,25/01/2005,123456789
10,23120010,Duong Lam Bao Ngoc,Nu,3/8/2005,234567890
11,23120011,Ho Thi Thanh Truc,Nu,12/9/2005,345678901
12,23120012,Nguyen Hoang Bao Vy,Nu,29/07/2005,456789012
13,23120013,Hoang Thi Kieu Trinh,Nu,14/05/2005,567890123
14,23120014,Tran Anh Khoa,Nam,7/11/2005,678901234
15,23120015,Nguyen Dac Huu Quang,Nam,2/2/2005,789012345
16,23120016,Le Minh Khoa,Nam,11/12/2005,890123456
17,23120017,Nguyen Tran Gia Huy,Nam,19/03/2005,901234567
18,23120018,Nguyen Phuc Hy,Nam,25/09/2005,123456789
19,23120019,Huynh Tran Y Nhi,Nu,4/6/2005,234567890
20,23120020,Huynh Nguyen Mai Phuong,Nu,9/4/2005,345678901
21,23120021,Nguyen Phuong Nhi,Nu,27/08/2005,456789012
22,23120022,Cao Thi Kieu My,Nu,16/07/2005,567890123
23,23120023,Pham Vo Tan Phat,Nam,22/05/2005,678901234
24,23120024,Ngo Minh Tuan,Nam,1/1/2005,789012345
25,23120025,Nguyen Tran Nhu Thuy,Nu,30/10/2005,890123456
26,23120026,Nguyen Ngoc Xuan Nguyen,Nu,28/06/2005,901234567
27,23120027,Ho Kim Vuong,Nam,13/04/2005,123456789
28,23120028,Nguyen Thanh Phuc,Nam,21/03/2005,234567890
29,23120029,Pham Nguyen Huyen Duyen,Nu,5/9/2005,345678901
30,23120030,Luong Thi Kieu Linh,Nu,23/11/2005,456789012
31,23120031,Bach Duong Tan Phat,Nam,9/8/2005,567890123
32,23120032,Ngo Thi Kieu Diem,Nu,27/02/2005,678901234
33,23120033,Nguyen Dac Huu Hoang,Nam,3/6/2005,789012345
34,23120034,Huynh Thi Ngoc My,Nu,14/12/2005,890123456
35,23120035,Nguyen Thi Thu Ngan,Nu,18/01/2005,901234567
36,23120036,Huynh Thi Thuy Ngan,Nu,20/07/2005,123456789
