1,21120001,Nguyen Cao Thanh Ngan,Nu,1/1/2003,123456789
2,21120002,Tran Van Duc,Nam,2/2/2003,234567890
3,21120003,Le Thi Hong Hanh,Nu,3/3/2003,345678901
4,21120004,Pham Ngoc Bich,Nu,4/4/2003,456789012
5,21120005,Hoang Minh Anh,Nam,5/5/2003,567890123
6,21120006,Bui Thi Thu Thao,Nu,6/6/2003,678901234
7,21120007,Nguyen Van Khanh,Nam,7/7/2003,789012345
8,21120008,Tran Thi Bich Nguyet,Nu,8/8/2003,890123456
9,21120009,Le Minh Hieu,Nam,9/9/2003,901234567
10,21120010,Pham Thi Lan Anh,Nu,10/10/2003,12345678
11,21120011,Hoang Van Cuong,Nam,11/11/2003,123456789
12,21120012,Bui Thi Minh Chau,Nu,12/12/2003,234567890
13,21120013,Nguyen Thi Thanh Huyen,Nu,13/01/2003,345678901
14,21120014,Tran Van Huy,Nam,14/02/2003,456789012
15,21120015,Le Thi Mai Huong,Nu,15/03/2003,567890123
16,21120016,Pham Ngoc Quang,Nam,16/04/2003,678901234
17,21120017,Hoang Thi Thu Huong,Nu,17/05/2003,789012345
18,21120018,Bui Van Minh,Nam,18/06/2003,890123456
19,21120019,Nguyen Thi Linh,Nu,19/07/2003,901234567
20,21120020,Tran Thanh Dat,Nam,20/08/2003,12345678
21,21120021,Le Thi Nhu Quynh,Nu,21/09/2003,123456789
22,21120022,Pham Van Tuan,Nam,22/10/2003,234567890
23,21120023,Hoang Thi Huong Giang,Nu,23/11/2003,345678901
24,21120024,Bui Minh Duc,Nam,24/12/2003,456789012
25,21120025,Nguyen Thi Thanh Tam,Nu,25/01/2003,567890123
26,21120026,Tran Van Nghia,Nam,26/02/2003,678901234
27,21120027,Le Thi Ngoc Anh,Nu,27/03/2003,789012345
28,21120028,Pham Quoc Bao,Nam,28/04/2003,890123456
29,21120029,Hoang Thi Minh Phuong,Nu,29/05/2003,901234567
30,21120030,Bui Thi Thuy Linh,Nu,30/06/2003,12345678
31,21120031,Nguyen Van Huy,Nam,1/7/2003,123456789
32,21120032,Tran Thi Ngoc Diep,Nu,2/8/2003,234567890
33,21120033,Le Minh Quan,Nam,3/9/2003,345678901
34,21120034,Pham Thi Thanh Thuy,Nu,4/10/2003,456789012
35,21120035,Hoang Gia Bao,Nam,5/11/2003,567890123
36,21120036,Bui Thi Kim Ngan,Nu,6/12/2003,678901234
37,21120037,Nguyen Thi Thuy Trang,Nu,7/1/2003,789012345
38,21120038,Tran Van Kien,Nam,8/2/2003,890123456
39,21120039,Le Thi Thanh Nhan,Nu,9/3/2003,901234567
40,21120040,Pham Ngoc Minh,Nam,10/4/2003,12345678
